Name,RecipeIngredientParts,Calories,FatContent,CarbohydrateContent,ProteinContent
Coconut Crunch Beans,"c(""sesame seeds"", ""butter"", ""unsweetened coconut"", ""chili powder"", ""turmeric"", ""salt"", ""green beans"")",269.9,23.4,15.5,4.5
Coconut Chicken Bites,"c(""chicken breast"", ""coconut"", ""flour"", ""salt"", ""black pepper"", ""garlic powder"", ""egg"", ""butter"")",1094.1,81.8,34.6,57.0
Chocolate Pound Cake,"c(""boiling water"", ""vanilla"", ""eggs"", ""cake flour"", ""sugar"", ""sugar"", ""baking powder"", ""salt"", ""unsalted butter"")",2905.2,168.7,321.9,38.2
Chicken With Portabella Mushrooms-,"c(""chicken breasts"", ""flour"", ""olive oil"", ""butter"", ""portabella mushroom"", ""onion white"", ""green onion"", ""fresh garlic"", ""fresh basil"", ""oregano"", ""fresh lemon juice"")",521.0,27.4,32.8,35.2
Low-Fat Apple &amp; Apricot,"c(""raisins"", ""dried currant"", ""lemon, rind of"", ""cinnamon stick"", ""clove"")",164.5,0.3,42.4,1.4
"Chicken, Mozzarella & Pepper Tarts","c(""chicken"", ""onion"", ""sun-dried tomatoes"", ""dried basil"", ""mozzarella cheese"")",54.8,3.8,0.7,4.3
Cola Fruit and Date Loaf,"c(""dates"", ""brown sugar"", ""flour"", ""baking soda"", ""baking powder"", ""cinnamon"", ""lemon rind"", ""egg"", ""vanilla extract"", ""pecans"")",267.0,6.2,51.4,3.6
Coca-Cola Cake,"c(""flour"", ""sugar"", ""salt"", ""baking soda"", ""margarine"", ""buttermilk"", ""miniature marshmallows"", ""eggs"", ""margarine"", ""confectioners' sugar"", ""vanilla"")",1012.3,44.7,148.8,9.2
Chicken-Fried Steak With Cracked Pepper Gravy,"c(""flour"", ""salt"", ""pepper"", ""cayenne"", ""eggs"", ""bock beer"", ""unsalted butter"", ""flour"", ""milk"", ""salt"", ""cracked pepper"")",1635.7,147.3,46.0,32.9
Claudi Sanders' Refrigerator Rolls,"c(""shortening"", ""sugar"", ""potato"", ""milk"", ""cake yeast"", ""flour"", ""baking soda"", ""salt"", ""baking powder"")",329.0,10.6,51.3,6.9
"$20,000 Prize-Winning Chili Con Carne","c(""onion"", ""garlic cloves"", ""Budweiser beer"", ""Hunts tomato sauce"", ""water"", ""chili powder"", ""cumin"", ""bouillon"", ""oregano leaves"", ""paprika"", ""sugar"", ""flour"", ""cornmeal"", ""water"")",558.1,16.8,38.5,55.6
Chilies Corn Muffins,"c(""all-purpose flour"", ""cornmeal"", ""sugar"", ""brown sugar"", ""baking powder"", ""salt"", ""skim milk"", ""soymilk"", ""egg"", ""green chilies"")",163.6,5.3,26.2,3.1
Classic Cream Scones,"c(""all-purpose flour"", ""granulated sugar"", ""baking powder"", ""salt"", ""unsalted butter"", ""heavy cream"", ""egg"", ""vanilla extract"", ""currants"", ""raisins"", ""egg"")",168.2,8.1,21.5,2.7
Chinese Chicken,"c(""chicken"", ""tomato sauce"", ""soy sauce"", ""dry sherry"", ""white vinegar"", ""chili powder"", ""garlic"", ""green ginger"")",373.4,21.8,13.5,28.0
Classic Chicken and Coconut Soup,"c(""chicken broth"", ""unsweetened coconut milk"", ""fresh lemongrass"", ""chicken breast"", ""lime juice"", ""jalapeno chile"", ""fresh cilantro"")",587.8,52.0,11.8,24.5
Chinese Hot and Sour Chicken Noodle Salad,"c(""chicken breast"", ""dry linguine"", ""peppercorn"", ""rice vinegar"", ""cider vinegar"", ""soy sauce"", ""fresh cilantro"", ""cucumber"")",340.7,12.7,45.0,15.9
Clam - Lobster Bake,"c(""baking potatoes"", ""sweet potatoes"", ""corn"", ""onions"", ""chicken halves"", ""live lobsters"", ""clams"")",990.1,30.8,71.1,107.2
Civil War Cake,"c(""raisins"", ""water"", ""sugar"", ""shortening"", ""cake flour"", ""salt"", ""cinnamon"", ""baking soda"", ""nutmeg"", ""clove"")",871.4,26.6,155.8,8.1
Chinese Hot and Sour Pork Soup,"c(""soy sauce"", ""white pepper"", ""egg substitute"", ""cornstarch"", ""bamboo shoot"", ""water chestnut"", ""carrot"", ""shiitake mushroom"", ""cake tofu"", ""white vinegar"", ""scallion"")",368.7,13.0,32.1,31.6
Citrus Glazed Barbecued Pork Loin,"c(""canola oil"", ""onion"", ""garlic"", ""chipotle pepper"", ""arbol chile"", ""cracked black pepper"", ""Worcestershire sauce"", ""barbecue sauce"", ""lemons"", ""kosher salt"", ""olive oil"", ""kosher salt"", ""cracked black pepper"")",835.8,50.8,47.0,46.7
Citrus Chicken,"c(""chicken breast halves"", ""lemon juice"", ""lime juice"", ""sugar"", ""dried oregano"")",167.7,10.2,3.6,15.3
Citrus Baked Halibut,"c(""halibut steaks"", ""butter"", ""onion"", ""garlic cloves"", ""fresh parsley"", ""salt"", ""black pepper"", ""fresh lemon juice"")",755.0,22.2,36.8,97.7
Chinese Plum Sauce,"c(""plums"", ""onion"", ""water"", ""gingerroot"", ""garlic"", ""granulated sugar"", ""rice vinegar"", ""cider vinegar"", ""salt"", ""cinnamon"", ""cayenne pepper"", ""clove"")",316.1,1.0,79.7,2.8
Chinese Meatballs,"c(""shrimp"", ""water chestnut"", ""green onion"", ""soy sauce"", ""white wine"", ""salt"", ""sugar"", ""cornstarch"", ""egg"", ""chicken broth"", ""napa cabbage"")",230.3,11.1,7.0,23.9
Cinnamon Curry Rice,"c(""onions"", ""potatoes"", ""carrot"", ""apple"", ""curry powder"", ""flour"", ""garlic"", ""water"", ""butter"", ""rice"", ""cinnamon"")",3892.1,94.2,647.4,110.7
Chocolate Almond Scones,"c(""all-purpose flour"", ""baking powder"", ""sugar"", ""salt"", ""butter"", ""eggs"", ""chocolate chips"")",375.0,21.1,41.0,7.6
Cinnamon Apple Salad,"c(""boiling water"", ""lemon gelatin"", ""applesauce"", ""cream cheese"", ""mayonnaise"", ""pecans"", ""celery"")",237.0,17.4,19.2,3.0
Chunky Tomato Cheese Pie,"c(""tomatoes"", ""cheddar cheese cubes"", ""all-purpose flour"", ""sugar"", ""salt"", ""cheddar cheese"")",444.6,28.8,29.4,17.6
Chocolate Bread and Butter Pudding,"c(""butter"", ""chocolate chips"", ""eggs"", ""milk"", ""sugar"", ""sherry wine"", ""vanilla"")",433.4,22.4,46.8,10.7
Christmas Snow Punch,"""vanilla ice cream""",42.0,2.0,5.8,0.6
Christmas Cranberry Salad,"c(""cranberries"", ""miniature marshmallows"", ""sugar"", ""apples"", ""seedless grapes"", ""walnuts"", ""salt"")",316.9,15.9,44.9,2.3
Chocolate Caramels,"c(""sugar"", ""brown sugar"", ""salt"", ""corn syrup"", ""heavy cream"", ""vanilla"", ""butter"")",349.2,18.3,47.7,3.2
Chocolatey Raisin Chip Cookies,"c(""brown sugar"", ""sugar"", ""canola oil"", ""vanilla"", ""water"", ""flour"", ""baking soda"", ""raisins"", ""walnuts"")",83.5,3.1,13.5,1.2
Chocolate-Chocolate Cupcakes,"c(""water"", ""eggs"", ""skim milk"", ""powdered sugar"", ""vanilla extract"", ""powdered sugar"")",155.2,4.5,28.2,2.4
Crock Pot Chocolate Zucchini Nut Bread,"c(""shortening"", ""sugar"", ""eggs"", ""vanilla"", ""baking soda"", ""zucchini"", ""milk"", ""flour"", ""walnuts"")",2867.8,120.7,414.9,47.4
Chocolate Cashew Spread,"c(""unsalted cashews"", ""butter"")",1833.6,170.7,74.4,25.1
Chocolate Chip Cheesecake Dip,"c(""raisins"", ""brandy"", ""cream cheese"", ""vanilla extract"", ""dark brown sugar"", ""cinnamon"")",779.0,61.9,48.9,11.6
Chocolate Chip Cookie Pizza,"c(""peanuts"", ""coconut"")",264.2,11.2,38.9,2.6
Chocolate Zucchini Cake,"c(""eggs"", ""sugar"", ""vanilla extract"", ""butter"", ""all-purpose flour"", ""baking powder"", ""baking soda"", ""salt"", ""buttermilk"", ""zucchini"", ""walnuts"", ""butter"", ""confectioners' sugar"", ""vanilla extract"", ""milk"")",552.1,22.1,87.0,5.9
Chocolate Zucchini Bread,"c(""eggs"", ""sugar"", ""vanilla extract"", ""zucchini"", ""all-purpose flour"", ""salt"", ""baking soda"", ""cinnamon"", ""baking powder"")",501.2,24.2,67.6,6.3
Chocolate Chip Muffins,"c(""all-purpose flour"", ""whole wheat flour"", ""baking powder"", ""banana"", ""brown sugar"", ""eggs"", ""milk"", ""butter"", ""chocolate chips"")",264.6,11.2,38.8,5.0
Chocolate Triumph of Gluttony Cake,"c(""eggs"", ""vanilla extract"", ""sugar"", ""unbleached all-purpose flour"", ""cornstarch"", ""salt"", ""unsalted butter"", ""maraschino cherries"", ""unsalted shelled pistachios"", ""sugar"", ""water"", ""maraschino cherry juice"")",466.1,31.2,44.2,10.7
Chocolate Chip Squares,"c(""butter"", ""brown sugar"", ""flour"", ""baking powder"", ""vanilla"", ""milk"", ""chocolate chips"", ""brown sugar"")",439.4,24.4,56.2,4.0
Chocolate Tapioca Pudding,"c(""sugar"", ""tapioca"", ""salt"", ""milk"", ""egg"", ""instant coffee"", ""vanilla"")",230.5,8.4,36.1,5.5
Chocolate Chip Shortbread,"c(""unsalted butter"", ""powdered sugar"", ""vanilla"", ""all-purpose flour"")",111.7,7.0,11.1,1.1
Chocolate Chunk and Walnut Brownies,"c(""all-purpose flour"", ""baking soda"", ""salt"", ""granulated sugar"", ""unsalted butter"", ""light corn syrup"", ""water"", ""eggs"", ""vanilla extract"", ""walnuts"")",247.2,18.6,22.2,4.8
Chocolate Pudding,"c(""instant nonfat dry milk powder"", ""sugar"", ""cornstarch"", ""salt"", ""chocolate pudding mix"", ""milk"", ""vanilla"", ""butter"")",6860.2,60.2,1579.0,118.9
Chocolate Coffee,"c(""half-and-half"", ""brewed coffee"")",308.3,19.3,20.3,5.0
Chocolate Pudding II,"c(""sugar"", ""cornstarch"", ""salt"", ""milk"", ""baking chocolate"", ""butter"", ""vanilla"")",305.4,12.6,46.1,5.8
Fudgy Chocolate Crinkle Cookies,"c(""sugar"", ""eggs"", ""vanilla"", ""salt"", ""flour"", ""baking powder"", ""powdered sugar"")",298.7,11.9,46.8,4.1
Chocolate Cream Puffs,"c(""water"", ""unsalted butter"", ""sugar"", ""salt"", ""flour"", ""eggs"", ""ice cream"")",235.8,14.7,20.9,5.4
Chocolate Cream Meringue Pie,"c(""sugar"", ""all-purpose flour"", ""salt"", ""milk"", ""butter"", ""margarine"", ""vanilla"", ""cream of tartar"", ""sugar"")",456.1,23.4,56.4,7.8
Chocolate Cream Easter Eggs,"c(""butter"", ""flour"", ""water"")",1362.3,57.8,214.4,7.8
Chocolate Cream Cheese Pie,"c(""German chocolate square"", ""milk"", ""cream cheese"", ""sugar"", ""Cool Whip"", ""graham cracker pie crust"")",299.7,18.7,31.5,2.7
Chocolate Cream Brulee,"c(""chestnut puree"", ""heavy cream"", ""cinnamon"", ""chocolate"", ""sugar"")",588.1,35.5,66.9,5.9
Chicken Curry II,"c(""chicken"", ""unsalted butter"", ""onions"", ""salt"", ""flour"", ""curry powder"", ""ginger"", ""black pepper"")",376.3,21.9,17.3,26.1
Chicken Giblets or Livers,"c(""chicken giblets"", ""olive oil"", ""cumin"", ""clove"", ""paprika"", ""bay leaf"", ""piri-piri"", ""onions"", ""garlic"", ""white wine"")",506.5,27.5,12.5,45.5
Chicken Fried Brown Rice,"c(""boneless skinless chicken breasts"", ""green onion"", ""cooked brown rice"", ""light soy sauce"")",355.9,9.8,46.2,20.3
&quot;any&quot; Muffins,"c(""white flour"", ""milk"", ""egg"", ""sugar"", ""baking powder"", ""salt"", ""milk"")",198.1,6.4,30.3,4.5
Amber and Zach's Kisses,"c(""granulated sugar"", ""baking powder"", ""salt"")",42.6,0.0,10.5,0.5
Swiss Crab Melt,"c(""English muffins"", ""tomatoes"", ""celery"", ""lemon juice"", ""mayonnaise"", ""swiss cheese"")",447.6,17.3,30.5,41.3
Lee's Hot Crab Dip,"c(""cream cheese"", ""sour cream"", ""mayonnaise"", ""lemon juice"", ""Worcestershire sauce"", ""dry mustard"", ""milk"", ""cheddar cheese"")",180.7,15.2,3.0,8.2
Grilled Avocado Toast,"c(""olive oil"", ""garlic clove"", ""plum tomatoes"", ""red onion"", ""avocado"", ""pepper"", ""cheddar cheese"")",3807.3,102.6,605.9,126.5
Mustard Dill Sauce I,"c(""spicy brown mustard"", ""sugar"", ""distilled white vinegar"", ""dry mustard"", ""fresh dill"")",921.1,76.5,58.6,4.5
Cucumber Pita Wedges,"c(""cream cheese"", ""cucumber"", ""lemon-pepper seasoning"")",374.2,20.6,37.7,10.2
Thai Chicken Curry,"c(""coconut milk"", ""potatoes"", ""nam pla"", ""curry powder"", ""clove"", ""boneless chicken"")",572.8,38.6,32.2,27.2
Thai Chicken Noodles,"c(""boneless skinless chicken breast halves"", ""white wine"", ""garlic cloves"", ""shallots"", ""shrimp"", ""tomato paste"", ""sugar"", ""nam pla"", ""bean sprouts"", ""basil"", ""peanuts"")",616.9,5.0,96.3,43.9
Sorrel Tarragon Sauce,"c(""mayonnaise"", ""sour cream"", ""fresh sorrel"", ""arugula"", ""fresh tarragon"", ""dried tarragon"", ""fresh chives"", ""green onion tops"", ""fresh parsley"", ""fresh lemon juice"", ""garlic"")",706.3,62.5,36.3,5.3
Thai Cucumber Salad,"c(""cucumber"", ""onion"", ""sugar"", ""nam pla"", ""lime"", ""peanuts"")",39.4,1.3,7.3,1.7
Lime Pistachio Bars,"c(""all-purpose flour"", ""powdered sugar"", ""unsalted butter"", ""eggs"", ""granulated sugar"", ""all-purpose flour"", ""baking powder"", ""lime zest"", ""lime juice"", ""unsalted shelled pistachio"")",147.1,7.6,17.9,2.3
London Bars,"c(""butter"", ""margarine"", ""sugar"", ""eggs"", ""all-purpose flour"", ""vanilla extract"", ""pecans"")",69.4,2.8,10.4,0.9
Stewed Jimmy Crabs,"c(""tap water"", ""bacon"", ""flour"", ""salt"", ""pepper"", ""onion"", ""potatoes"")",484.5,6.2,82.2,26.0
Ann's Blooming Lovely Chocolate Cheesecake,"c(""margarine"", ""firm tofu"", ""oranges"", ""banana"", ""cocoa powder"", ""sugar"", ""soya milk"")",388.3,20.3,46.1,11.6
Chinese Style Sauteed Firm Tofu,"c(""firm tofu"", ""salt"", ""onion"", ""mushrooms"", ""carrot"", ""green bell peppers"", ""sake"", ""white wine"", ""soy sauce"", ""gingerroot"", ""sugar"", ""water"", ""cornstarch"")",233.2,14.1,13.8,16.3
Chesapeake Bay Crab Salad,"c(""mayonnaise"", ""pimiento"", ""Dijon mustard"", ""Worcestershire sauce"", ""salt"", ""lemon"", ""celery"", ""lettuce"", ""lemon slice"", ""paprika"")",165.0,6.0,6.0,21.4
Crab Bisque Chincoteague,"c(""butter"", ""flour"", ""milk"", ""sharp cheddar cheese"", ""lemon pepper"", ""cooking sherry"", ""parsley"", ""salt"")",605.7,48.2,14.7,24.9
Maryland Pavilion Crab Cakes,"c(""eggs"", ""mayonnaise"", ""parsley"", ""salt"", ""pepper"")",106.8,3.7,1.4,16.0
Crabapple Jelly,"c(""cinnamon"", ""lemon basil"", ""sugar"")",671.4,0.8,174.3,1.1
Trifle,"c(""egg white substitute"", ""granulated sugar"", ""soymilk"", ""lemon juice"", ""whole wheat pastry flour"", ""baking powder"", ""salt"", ""cornstarch"", ""granulated sugar"", ""soymilk"", ""vanilla extract"", ""lemon juice"", ""sweet sherry"", ""port wine"", ""pear"")",253.8,3.9,48.9,6.2
Suffolk Trifle (English),"c(""white wine"", ""brandy"", ""egg"", ""cornflour"", ""caster sugar"")",625.7,43.4,49.5,7.8
Twice-Baked Potatoes (Microwave),"c(""baking potatoes"", ""bacon"", ""butter"", ""margarine"", ""green onions"", ""milk"", ""salt"", ""pepper"", ""paprika"")",154.5,9.1,16.1,2.7
Twice Baked Potatoes,"c(""baking potatoes"", ""milk"", ""butter"", ""egg"", ""parmesan cheese"", ""nutmeg"", ""chives"", ""green onion top"", ""paprika"")",186.0,8.8,21.6,5.7
Spiced Pear Butter,"c(""pears"", ""cinnamon sticks"", ""allspice"", ""cloves"", ""sugar"")",851.6,0.8,221.9,2.2
Lemon Curried Lamb Chops,"c(""lamb chops"", ""lemon juice"", ""salt"", ""curry powder"", ""sugar"", ""butter"")",381.7,34.1,2.9,15.9
Lemon Mint Lamb Chops,"c(""lamb chops"", ""butter"", ""onion"", ""lemon"", ""lemon juice"", ""sugar"", ""mint"")",706.5,62.2,5.5,31.6
Winter Pear Butter,"c(""pears"", ""sugar"", ""brandy"", ""water"")",2059.7,2.2,484.4,7.0
Meatballs in Cheese Pastry,"c(""flour"", ""cayenne pepper"", ""butter"", ""cheese"", ""egg"", ""sesame seeds"", ""beef"", ""lime rind"", ""lime juice"")",273.2,21.1,14.1,7.0
Basic Habanero Sauce,"c(""habanero peppers"", ""carrot"", ""onion"", ""distilled vinegar"", ""garlic cloves"", ""lime juice"")",55.0,2.0,8.5,1.5
Greek Phyllo Seafood Rolls,"c(""frozen spinach"", ""part-skim ricotta cheese"", ""feta cheese"", ""lemon"", ""dried dill weed"", ""fresh dill weed"", ""pepper"", ""olive oil"", ""onion"", ""garlic cloves"", ""garlic cloves"", ""large shrimp"", ""phyllo dough"", ""butter"")",527.4,25.6,53.5,22.4
Ouzo-Marinated Greek Cheese,"c(""kasseri cheese"", ""olive oil"", ""fresh parsley"", ""fresh thyme"", ""pepper"")",121.3,13.5,0.5,0.1
Greek Spinach Triangles,"c(""frozen spinach"", ""eggs"", ""onion"", ""cream cheese"", ""pepper"", ""feta cheese"", ""butter"", ""margarine"", ""phyllo pastry"")",163.2,8.4,18.0,4.0
Grand Marnier Cake,"c(""butter"", ""sugar"", ""Grand Marnier"", ""flour"", ""baking soda"", ""baking powder"", ""sour cream"", ""walnuts"", ""sugar"", ""Grand Marnier"")",641.3,35.8,65.4,16.4
Spanish Potato Omelet (Tortilla a la Espanola),"c(""olive oil"", ""potatoes"", ""onion"", ""coarse salt"", ""eggs"")",848.0,59.1,68.3,14.2
French Pecan Pie,"c(""sugar"", ""vanilla"", ""pecans"", ""German chocolate"")",207.8,10.2,28.2,2.7
Thai Coconut Chicken Soup,"c(""boneless skinless chicken breast halves"", ""coconut milk"", ""green onions"", ""serrano chilies"", ""nam pla"", ""lemongrass"", ""lime"")",368.9,27.2,6.3,27.9
Salt Cod Chowder,"c(""salt cod fish"", ""fat salt pork"", ""onion"", ""raw potatoes"", ""raw carrot"", ""boiling water"", ""salt"", ""pepper"", ""canned corn niblet"", ""milk"")",295.6,5.0,20.8,40.7
Thai Fried Bananas,"c(""bananas"", ""butter"", ""palm sugar"", ""lime"")",190.4,6.2,36.8,1.6
Thai Beef Salad,"c(""romaine lettuce"", ""red leaf lettuce"", ""Belgian endive"", ""fresh lime juice"", ""soy sauce"", ""beef"", ""brown sugar"", ""garlic cloves"", ""cilantro"", ""tomatoes"", ""green onions"")",1259.9,122.9,26.5,18.2
Feijoada (Brazilian Bean Soup),"c(""dried black beans"", ""onions"", ""turkey Polish kielbasa"", ""turkey Polish kielbasa"", ""garlic"", ""cumin"", ""water"", ""salt"", ""pepper"", ""bay leaf"", ""red wine vinegar"")",286.9,5.8,43.2,16.6
Thai Coconut Custard,"c(""coconut milk"", ""eggs"", ""palm sugar"", ""salt"")",419.3,25.2,40.4,11.1
Feijoada (Brazilian Bean Soup) II,"c(""black beans"", ""water"", ""ham"", ""hot Italian sausage"", ""cherry tomatoes"", ""onion"", ""red pepper flakes"", ""garlic cloves"", ""orange zest"")",293.8,15.5,12.6,25.2
Bean Curd With Broccoli,"c(""cornstarch"", ""dry sherry"", ""soy sauce"", ""scallion"", ""gingerroot"", ""garlic cloves"", ""broccoli"", ""salt"", ""medium firm tofu"")",465.6,39.2,13.7,12.9
Cauliflower and Potatoes,"c(""cumin seed"", ""fresh ginger"", ""cauliflower"", ""potatoes"", ""garam masala"", ""salt"")",698.2,41.7,75.7,9.0
Curried Vegetables,"c(""cauliflower"", ""carrots"", ""celery"", ""onion"", ""mayonnaise"", ""salt"", ""curry powder"", ""ginger"", ""cheddar cheese"", ""butter"")",241.8,15.0,21.6,6.4
Scrambled Tofu on Toast,"c(""plain firm tofu"", ""butter"", ""turmeric"", ""herbs"")",352.7,21.0,28.9,17.3
Crisp Sauteed Cucumbers With Lemon,"c(""cucumber"", ""salt"", ""lemon"", ""olive oil"", ""flour"", ""salt"", ""pepper"", ""fresh parsley leaves"")",299.6,6.5,53.2,7.4
Tutti Frutti Trifle,"c(""grapefruit"", ""orange"", ""fresh pineapple"", ""marshmallows"", ""maraschino cherries"", ""moist coconut"", ""maraschino juice"", ""confectioners' sugar"")",184.2,3.6,36.5,3.9
Creamed Cucumbers,"c(""salt"", ""butter"", ""onion"", ""pepper"", ""sour cream"", ""yogurt"", ""fresh dill"", ""cucumber"")",357.1,33.8,13.6,3.3
Virginia Fried Soft Shell Crabs,"c(""soft shelled crabs"", ""milk"", ""flour"", ""eggs"", ""salt"")",137.8,2.8,15.1,12.1
Blue Jimmy Pillows,"c(""chicken broth"", ""Worcestershire sauce"", ""parsley"", ""season salt"", ""celery seed"", ""tarragon"", ""all-purpose flour"", ""eggs"")",462.0,34.3,25.8,12.5
Apricot Salsa,"c(""red bell pepper"", ""olive oil"", ""onion"", ""tomatoes"", ""apricots"", ""dark rum"", ""apple cider"")",40.8,0.2,5.7,0.8
English Trifle - Guy Attwood,"c(""sugar"", ""cornstarch"", ""vanilla"", ""nutmeg"", ""cream sherry"", ""frozen raspberries"")",674.0,40.4,66.7,7.6
Rote Gr&uuml;tze,"c(""raspberries"", ""strawberries"", ""dark sweet red cherries"", ""dark sweet cherries"", ""cranberry juice"", ""sugar"", ""lemon zest"", ""lemon juice"", ""cornstarch"", ""dry red wine"", ""heavy cream"")",406.0,11.8,70.6,3.1
Twice Baked Ham and Cheese Potatoes,"c(""potatoes"", ""cheddar cheese"", ""milk"", ""ham"", ""sour cream"", ""pepper"", ""butter"", ""paprika"", ""parsley flakes"")",456.0,25.2,41.6,17.1
Rock Candy,"c(""water"", ""sugar"")",1548.0,0.0,399.9,0.0
Twice-Baked Sweet Potatoes,"c(""head of garlic"", ""sweet potatoes"", ""sour cream"", ""salt"", ""pepper"")",144.0,2.6,28.2,2.6
Rock Candy II,"c(""water"", ""sugar"")",1548.0,0.0,399.9,0.0
Curry Curlies,"c(""puff pastry sheets"", ""butter"", ""curry powder"")",6831.4,529.1,465.0,73.2
Florentiner,"c(""butter"", ""sugar"", ""flour"", ""water"")",2129.0,153.8,196.6,42.7
Homemade Butter,"""heavy cream""",68.4,7.3,0.6,0.4
Homemade Butter II,"c(""heavy whipping cream"", ""water"")",615.8,66.0,5.0,3.7
Florentines,"c(""all-purpose flour"", ""baking soda"", ""salt"", ""butter"", ""margarine"", ""brown sugar"", ""light corn syrup"", ""egg"", ""coconut"", ""vanilla extract"", ""butter"", ""margarine"")",36.9,2.2,4.2,0.4
How to Make Yeast,"c(""water"", ""sugar"")",387.0,0.0,100.0,0.0
Thai Citrus Chicken Salad,"c(""garlic clove"", ""light soy sauce"", ""oranges"", ""lime"", ""brown sugar"", ""Chinese cabbage"", ""bean sprouts"", ""red onion"", ""orange"", ""fresh cilantro"", ""fresh cilantro"")",311.2,3.7,40.9,32.7
Chutney Ham Salad,"c(""pineapple chunks"", ""ham"", ""cheddar cheese"", ""sour cream"", ""chutney"")",373.8,25.5,11.8,24.7
Dolmades with Yogurt-Mint Sauce,"c(""olive oil"", ""olive oil"", ""onion"", ""garlic"", ""long grain white rice"", ""cumin"", ""canned chicken broth"", ""currants"", ""pine nuts"", ""fresh parsley"", ""of fresh mint"", ""grape leaves"", ""plain yogurt"", ""of fresh mint"", ""garlic"", ""lemon wedge"")",89.0,5.0,8.6,3.0
Grand Marnier Cake II,"c(""butter"", ""sugar"", ""eggs"", ""flour"", ""baking powder"", ""baking soda"", ""sour cream"", ""orange, zest of"", ""Grand Marnier"", ""sugar"")",642.2,34.6,77.5,8.2
French Pecan Pie II,"c(""vanilla"", ""graham cracker crumbs"", ""sugar"", ""pecans"", ""baking powder"")",304.8,14.1,43.3,4.1
Fish Chowder,"c(""cod fish fillet"", ""margarine"", ""onion"", ""celery"", ""raw potatoes"", ""carrot"", ""boiling water"", ""salt"", ""pepper"", ""milk"")",261.0,8.8,20.7,24.4
Drunken Chicken,"c(""whole chicken"", ""low sodium chicken broth"", ""ginger"", ""soy sauce"", ""scallions"")",1042.9,54.4,3.8,62.7
Drunken Chicken II,"c(""water"", ""chicken breast"", ""ginger"", ""scallion"", ""salt"", ""sherry wine"", ""cilantro"")",352.1,13.4,4.3,30.6
Curry Chicken,"c(""chicken wings"", ""curry powder"", ""seasoning salt"", ""black pepper"", ""onion"", ""green pepper"")",284.4,15.3,20.4,15.9
Curried Chicken,"c(""chicken"", ""salt"", ""curry powder"", ""onion"", ""rosemary"", ""garlic"", ""thyme"", ""water"")",604.2,44.8,5.6,43.0
Cheesy Stuffed Acorn Squash,"c(""acorn squash"", ""butter"", ""onions"", ""broccoli floret"", ""mushroom"", ""celery"", ""walnuts"", ""brown sugar"", ""soy sauce"", ""fresh basil"", ""muenster cheese"")",304.8,20.8,27.2,7.4
"Acorn, Butternut Squash and Parsnips Gratin","c(""fresh parsley"", ""salt"", ""dried oregano"", ""dried thyme"", ""pepper"", ""acorn squash"", ""parsnips"", ""olive oil"", ""olive oil-flavored vegetable cooking spray"", ""reduced-fat sharp cheddar cheese"", ""oregano sprig"")",152.8,3.5,27.9,4.9
Chicken Caesar Wraps,"c(""olive oil"", ""lemon pepper"", ""garlic"", ""skinless chicken breast half"", ""sour cream"", ""milk"", ""parmesan cheese"", ""pepper"", ""garlic"", ""flour tortilla"", ""romaine lettuce"")",357.6,26.2,2.8,27.1
Spicy Acorn Squash Soup,"c(""low sodium chicken broth"", ""onions"", ""acorn squash"", ""salt"", ""water"", ""long-grain rice"", ""chunky peanut butter"", ""fresh parsley"")",156.7,5.4,23.2,6.1
Ken's White Chili,"c(""great northern bean"", ""fat-free chicken broth"", ""onions"", ""garlic cloves"", ""boneless skinless chicken breasts"", ""cumin"", ""oregano"", ""cayenne pepper"", ""lemon juice"", ""green chilies"", ""monterey jack cheese"")",459.2,19.3,23.8,47.8
White Chili,"c(""boneless skinless chicken breast halves"", ""great northern beans"", ""fat-free chicken broth"", ""cumin"", ""salsa"", ""monterey jack cheese"")",485.5,14.6,38.2,50.8
Light Easy Crisp,"c(""cinnamon"", ""fresh blueberries"", ""frozen blueberries"", ""all-purpose flour"", ""rolled oats"", ""brown sugar"", ""butter"")",195.9,6.5,33.3,2.8
Giant Baked Hero,"c(""olive oil"", ""garlic cloves"", ""garlic cloves"", ""dry basil leaves"", ""dry oregano leaves"", ""dry thyme leaves"", ""ham"", ""fontina"", ""monterey jack cheese"", ""onion"", ""olive oil"")",313.8,23.6,4.7,20.8
Brown Sugar Shortbread,"c(""butter"", ""brown sugar"", ""flour"")",73.0,4.5,7.7,0.7
Pork Sate With Peanut Dipping Sauce,"c(""fresh lemongrass"", ""fresh lime juice"", ""dark brown sugar"", ""soy sauce"", ""garlic cloves"", ""fresh lemongrass"", ""chicken broth"", ""creamy peanut butter"", ""onion"", ""jalapeno chile"", ""green onion top"")",236.2,13.3,12.9,18.7
Eight Layer Shortbread Slices,"c(""flour"", ""cornstarch"", ""butter"", ""margarine"", ""confectioners' sugar"", ""vanilla"")",107.2,6.5,11.3,1.1
Oktoberfest Spinach Strudel,"c(""onion"", ""parsley"", ""frozen spinach"", ""fat free parmesan"", ""nutmeg"", ""black pepper"", ""phyllo dough"", ""skim milk"")",233.2,4.2,38.9,11.1
